epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.8515625,0.46885862946510315,,
0,99,0.8515625,0.511038601398468,,
0,149,0.8359375,0.41349637508392334,,
0,199,0.8984375,0.3145740032196045,,
0,249,0.9375,0.31124141812324524,,
0,299,0.9296875,0.310720294713974,,
0,349,0.9140625,0.2908214032649994,,
0,399,0.921875,0.211573988199234,,
0,421,,,0.9396666884422302,0.21137943863868713
1,449,0.921875,0.30296459794044495,,
1,499,0.9296875,0.2183769941329956,,
1,549,0.9453125,0.23224957287311554,,
1,599,0.890625,0.4440028965473175,,
1,649,0.9609375,0.1263185441493988,,
1,699,0.9140625,0.2693997919559479,,
1,749,0.9375,0.17522181570529938,,
1,799,0.96875,0.17141848802566528,,
1,843,,,0.95333331823349,0.16509786248207092
2,849,0.9375,0.23049424588680267,,
2,899,0.9453125,0.17594502866268158,,
2,949,0.9296875,0.17345793545246124,,
2,999,0.953125,0.18402034044265747,,
2,1049,0.9375,0.2048327773809433,,
2,1099,0.9609375,0.11727605760097504,,
2,1149,0.921875,0.21883200109004974,,
2,1199,0.9453125,0.1795400083065033,,
2,1249,0.984375,0.09376116842031479,,
2,1265,,,0.9603333473205566,0.1376768946647644
3,1299,0.9609375,0.0983898788690567,,
3,1349,0.953125,0.16743536293506622,,
3,1399,0.9453125,0.19689375162124634,,
3,1449,0.921875,0.18005190789699554,,
3,1499,0.9296875,0.25307977199554443,,
3,1549,0.9453125,0.1689286082983017,,
3,1599,0.953125,0.19245541095733643,,
3,1649,0.90625,0.3105625510215759,,
3,1687,,,0.9629999995231628,0.1245112419128418
4,1699,0.953125,0.1561482548713684,,
4,1749,0.9765625,0.07049501687288284,,
4,1799,0.90625,0.3411608636379242,,
4,1849,0.9375,0.15506096184253693,,
4,1899,0.9609375,0.11451493948698044,,
4,1949,0.953125,0.14108984172344208,,
4,1999,0.953125,0.1322823315858841,,
4,2049,0.9296875,0.1892017126083374,,
4,2099,0.953125,0.1876026839017868,,
4,2109,,,0.9649999737739563,0.12378739565610886
