epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.765625,0.6734889149665833,,
0,99,0.859375,0.5167856216430664,,
0,149,0.796875,0.5131191611289978,,
0,199,0.890625,0.4020915627479553,,
0,249,0.953125,0.22631019353866577,,
0,299,0.890625,0.22433994710445404,,
0,349,0.9375,0.18373818695545197,,
0,399,0.96875,0.14220570027828217,,
0,449,0.921875,0.31856629252433777,,
0,499,0.90625,0.269539475440979,,
0,549,0.90625,0.2773919105529785,,
0,599,0.96875,0.11056448519229889,,
0,649,0.90625,0.32221758365631104,,
0,699,0.96875,0.20996975898742676,,
0,749,0.953125,0.11881192773580551,,
0,799,0.9375,0.15140506625175476,,
0,843,,,0.9511666893959045,0.15885326266288757
1,849,0.953125,0.18841692805290222,,
1,899,0.953125,0.18183943629264832,,
1,949,0.984375,0.05943414568901062,,
1,999,0.953125,0.09998778253793716,,
1,1049,0.9375,0.1619829684495926,,
1,1099,0.9375,0.2573481798171997,,
1,1149,0.90625,0.18295152485370636,,
1,1199,0.953125,0.19465065002441406,,
1,1249,0.9375,0.1267605423927307,,
1,1299,0.96875,0.1422700136899948,,
1,1349,1.0,0.02137535624206066,,
1,1399,0.96875,0.12768486142158508,,
1,1449,0.9375,0.2461232990026474,,
1,1499,0.9375,0.2711523771286011,,
1,1549,0.921875,0.42388761043548584,,
1,1599,0.9375,0.28974929451942444,,
1,1649,0.953125,0.21229341626167297,,
1,1687,,,0.9596666693687439,0.12807850539684296
2,1699,0.890625,0.2800941467285156,,
2,1749,0.984375,0.03586504980921745,,
2,1799,0.9375,0.19383643567562103,,
2,1849,0.96875,0.07298868894577026,,
2,1899,0.921875,0.27414295077323914,,
2,1949,0.953125,0.12521710991859436,,
2,1999,0.9375,0.2671036720275879,,
2,2049,0.96875,0.10594107955694199,,
2,2099,0.9375,0.13225995004177094,,
2,2149,0.9375,0.2670373022556305,,
2,2199,0.96875,0.07458198070526123,,
2,2249,0.953125,0.1612178236246109,,
2,2299,0.96875,0.1156659871339798,,
2,2349,0.90625,0.20515073835849762,,
2,2399,0.953125,0.09306773543357849,,
2,2449,1.0,0.015615299344062805,,
2,2499,0.921875,0.15586359798908234,,
2,2531,,,0.9668333530426025,0.11180409789085388
3,2549,0.984375,0.05983004346489906,,
3,2599,0.953125,0.1370857208967209,,
3,2649,0.984375,0.06908847391605377,,
3,2699,0.9375,0.13461032509803772,,
3,2749,0.953125,0.1292841136455536,,
3,2799,0.9375,0.1724940538406372,,
3,2849,0.9375,0.1483934074640274,,
3,2899,0.953125,0.2006780505180359,,
3,2949,1.0,0.01647750660777092,,
3,2999,0.984375,0.12314104288816452,,
3,3049,0.96875,0.06863276660442352,,
3,3099,0.90625,0.18783755600452423,,
3,3149,0.96875,0.0742626041173935,,
3,3199,0.953125,0.13601946830749512,,
3,3249,0.984375,0.05319061502814293,,
3,3299,0.90625,0.16809827089309692,,
3,3349,0.96875,0.0723743811249733,,
3,3375,,,0.9704999923706055,0.10372581332921982
4,3399,0.984375,0.1274852156639099,,
4,3449,0.984375,0.05751412361860275,,
4,3499,0.953125,0.10153944790363312,,
4,3549,1.0,0.021858133375644684,,
4,3599,0.9375,0.29798176884651184,,
4,3649,0.984375,0.08625853806734085,,
4,3699,0.890625,0.44866371154785156,,
4,3749,0.9375,0.18132062256336212,,
4,3799,0.953125,0.1476266086101532,,
4,3849,0.9375,0.13174018263816833,,
4,3899,0.984375,0.029598195105791092,,
4,3949,0.9375,0.10294553637504578,,
4,3999,0.96875,0.1500510573387146,,
4,4049,0.953125,0.07106619328260422,,
4,4099,0.921875,0.27538344264030457,,
4,4149,0.96875,0.11495353281497955,,
4,4199,0.953125,0.19844336807727814,,
4,4219,,,0.9733333587646484,0.10393132269382477
