epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.9140625,0.3229464888572693,,
0,99,0.9609375,0.16386640071868896,,
0,149,0.96875,0.15295392274856567,,
0,199,0.9453125,0.24433177709579468,,
0,249,0.921875,0.29376503825187683,,
0,299,0.921875,0.2644757926464081,,
0,349,0.8828125,0.35718074440956116,,
0,399,0.90625,0.22840331494808197,,
0,421,,,0.9440000057220459,0.19277207553386688
1,449,0.90625,0.23481087386608124,,
1,499,0.9296875,0.2425069361925125,,
1,549,0.90625,0.37476733326911926,,
1,599,0.96875,0.08329229056835175,,
1,649,0.9296875,0.2853475511074066,,
1,699,0.9140625,0.3027774393558502,,
1,749,0.90625,0.24798360466957092,,
1,799,0.9375,0.19873370230197906,,
1,843,,,0.953166663646698,0.1649271696805954
2,849,0.9140625,0.27238592505455017,,
2,899,0.9296875,0.3056461215019226,,
2,949,0.9375,0.18878424167633057,,
2,999,0.921875,0.18150073289871216,,
2,1049,0.96875,0.14981168508529663,,
2,1099,0.96875,0.11533885449171066,,
2,1149,0.9375,0.20865491032600403,,
2,1199,0.921875,0.21419896185398102,,
2,1249,0.9375,0.16107189655303955,,
2,1265,,,0.9543333053588867,0.16921938955783844
3,1299,0.984375,0.05979376658797264,,
3,1349,0.9453125,0.13701674342155457,,
3,1399,0.9609375,0.116803839802742,,
3,1449,0.953125,0.28144410252571106,,
3,1499,0.9609375,0.13016663491725922,,
3,1549,0.9453125,0.31867316365242004,,
3,1599,0.9609375,0.12467309087514877,,
3,1649,0.953125,0.14619241654872894,,
3,1687,,,0.9581666588783264,0.15805159509181976
4,1699,0.953125,0.13092806935310364,,
4,1749,0.9296875,0.16062504053115845,,
4,1799,0.9375,0.32215481996536255,,
4,1849,0.9375,0.20683468878269196,,
4,1899,0.9296875,0.22010530531406403,,
4,1949,0.9296875,0.14213359355926514,,
4,1999,0.9609375,0.11652228236198425,,
4,2049,0.9609375,0.15054388344287872,,
4,2099,0.9296875,0.21876965463161469,,
4,2109,,,0.9503333568572998,0.20173531770706177
