epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.796875,0.5507776737213135,,
0,99,0.890625,0.33249300718307495,,
0,149,0.90625,0.3418353497982025,,
0,199,0.921875,0.26501429080963135,,
0,249,0.9375,0.2273397445678711,,
0,299,0.9375,0.3016149401664734,,
0,349,0.90625,0.31357431411743164,,
0,399,0.90625,0.3621532917022705,,
0,421,,,0.9451666474342346,0.1783435046672821
1,449,0.9453125,0.11694041639566422,,
1,499,0.8984375,0.3240896761417389,,
1,549,0.9609375,0.15966573357582092,,
1,599,0.9140625,0.3326718807220459,,
1,649,0.9453125,0.14302951097488403,,
1,699,0.9375,0.25308018922805786,,
1,749,0.9453125,0.15139123797416687,,
1,799,0.8984375,0.22068490087985992,,
1,843,,,0.9585000276565552,0.1342930942773819
2,849,0.9765625,0.11083763837814331,,
2,899,0.953125,0.14071309566497803,,
2,949,0.9296875,0.1771131455898285,,
2,999,0.96875,0.09970182180404663,,
2,1049,0.9609375,0.11567328125238419,,
2,1099,0.96875,0.111363984644413,,
2,1149,0.96875,0.14354173839092255,,
2,1199,0.953125,0.14648151397705078,,
2,1249,0.9609375,0.13945215940475464,,
2,1265,,,0.9633333086967468,0.11668239533901215
3,1299,0.9453125,0.17729470133781433,,
3,1349,0.953125,0.14871375262737274,,
3,1399,0.9765625,0.09494160860776901,,
3,1449,0.9609375,0.12924927473068237,,
3,1499,0.9921875,0.0824873298406601,,
3,1549,0.953125,0.1641124188899994,,
3,1599,0.984375,0.07754699140787125,,
3,1649,0.953125,0.143184632062912,,
3,1687,,,0.9703333377838135,0.099960558116436
4,1699,0.96875,0.11626558005809784,,
4,1749,0.9765625,0.06751862913370132,,
4,1799,0.984375,0.04088830202817917,,
4,1849,0.9609375,0.09641832113265991,,
4,1899,0.9921875,0.053874421864748,,
4,1949,0.9765625,0.0663297027349472,,
4,1999,0.96875,0.08772902935743332,,
4,2049,0.9609375,0.14578169584274292,,
4,2099,0.9921875,0.08263874053955078,,
4,2109,,,0.9695000052452087,0.10065098851919174
