epoch,lr-AdamW,step,test_dice,test_iou,test_loss,train_loss,val_dice,val_iou,val_loss
,0.0001,0,,,,,,,
0,,9,,,,1.0135868787765503,,,
0,,19,,,,0.6340110301971436,,,
0,,29,,,,0.5777357220649719,,,
0,,39,,,,0.605462908744812,,,
0,,49,,,,0.569670557975769,,,
0,,59,,,,0.6702474355697632,,,
0,,69,,,,0.4790758788585663,,,
0,,79,,,,0.6854056119918823,,,
0,,89,,,,0.5834687948226929,,,
0,,99,,,,0.6212363243103027,,,
0,,109,,,,0.5582260489463806,,,
0,,119,,,,0.548261284828186,,,
0,,129,,,,0.4435500204563141,,,
0,,139,,,,0.4068070948123932,,,
0,,149,,,,0.4066615104675293,,,
0,,159,,,,0.4337959885597229,,,
0,,169,,,,0.4579317271709442,,,
0,,179,,,,0.49696221947669983,,,
0,,189,,,,0.41002899408340454,,,
0,,199,,,,0.4903145730495453,,,
0,,209,,,,0.4011821746826172,,,
0,,219,,,,0.5127902030944824,,,
0,,229,,,,0.48605602979660034,,,
0,,239,,,,0.43250221014022827,,,
0,,249,,,,0.34729015827178955,,,
0,,259,,,,0.5054818391799927,,,
0,,269,,,,0.4957449436187744,,,
0,,279,,,,0.4502744674682617,,,
0,,289,,,,0.3370434045791626,,,
0,,299,,,,0.5067877173423767,,,
0,,309,,,,0.40766623616218567,,,
0,,319,,,,0.7163404226303101,,,
0,,329,,,,0.31868475675582886,,,
0,,339,,,,0.2847365140914917,,,
0,,349,,,,0.34944283962249756,,,
0,,359,,,,0.3223656713962555,,,
0,,367,,,,,0.9253209233283997,0.8615565299987793,0.3531761169433594
,9.990232305719945e-05,368,,,,,,,
1,,369,,,,0.3283533751964569,,,
1,,379,,,,0.31764787435531616,,,
1,,389,,,,0.4352707266807556,,,
1,,399,,,,0.3543229103088379,,,
1,,409,,,,0.39983516931533813,,,
1,,419,,,,0.3128849267959595,,,
1,,429,,,,0.29874587059020996,,,
1,,439,,,,0.32472434639930725,,,
1,,449,,,,0.36050206422805786,,,
1,,459,,,,0.3299972116947174,,,
1,,469,,,,0.26555413007736206,,,
1,,479,,,,0.43257957696914673,,,
1,,489,,,,0.2944512367248535,,,
1,,499,,,,0.3517245352268219,,,
1,,509,,,,0.3325241804122925,,,
1,,519,,,,0.36993080377578735,,,
1,,529,,,,0.3120056688785553,,,
1,,539,,,,0.2981703281402588,,,
1,,549,,,,0.33420079946517944,,,
1,,559,,,,0.23778946697711945,,,
1,,569,,,,0.22877174615859985,,,
1,,579,,,,0.31054362654685974,,,
1,,589,,,,0.2861853241920471,,,
1,,599,,,,0.3267495334148407,,,
1,,609,,,,0.28365981578826904,,,
1,,619,,,,0.33855706453323364,,,
1,,629,,,,0.28105974197387695,,,
1,,639,,,,0.26420414447784424,,,
1,,649,,,,0.32033050060272217,,,
1,,659,,,,0.3113536238670349,,,
1,,669,,,,0.25229954719543457,,,
1,,679,,,,0.37979674339294434,,,
1,,689,,,,0.34064292907714844,,,
1,,699,,,,0.2299739122390747,,,
1,,709,,,,0.19667208194732666,,,
1,,719,,,,0.2515913248062134,,,
1,,729,,,,0.3917699158191681,,,
1,,735,,,,,0.9308925867080688,0.8712185025215149,0.2864053547382355
,9.960967771506666e-05,736,,,,,,,
2,,739,,,,0.20502197742462158,,,
2,,749,,,,0.19224858283996582,,,
2,,759,,,,0.2894754409790039,,,
2,,769,,,,0.2863771617412567,,,
2,,779,,,,0.25382962822914124,,,
2,,789,,,,0.29768091440200806,,,
2,,799,,,,0.3109601140022278,,,
2,,809,,,,0.2759460210800171,,,
2,,819,,,,0.21944108605384827,,,
2,,829,,,,0.24569815397262573,,,
2,,839,,,,0.22646629810333252,,,
2,,849,,,,0.24163535237312317,,,
2,,859,,,,0.260399729013443,,,
2,,869,,,,0.3046215772628784,,,
2,,879,,,,0.18292179703712463,,,
2,,889,,,,0.27556073665618896,,,
2,,899,,,,0.3220784664154053,,,
2,,909,,,,0.2581557035446167,,,
2,,919,,,,0.3219386339187622,,,
2,,929,,,,0.277098685503006,,,
2,,939,,,,0.274955689907074,,,
2,,949,,,,0.30677178502082825,,,
2,,959,,,,0.18532735109329224,,,
2,,969,,,,0.4975006580352783,,,
2,,979,,,,0.2563167214393616,,,
2,,989,,,,0.22267977893352509,,,
2,,999,,,,0.2097899317741394,,,
2,,1009,,,,0.26114118099212646,,,
2,,1019,,,,0.18417124450206757,,,
2,,1029,,,,0.2489243894815445,,,
2,,1039,,,,0.2642807364463806,,,
2,,1049,,,,0.2713230550289154,,,
2,,1059,,,,0.172836571931839,,,
2,,1069,,,,0.23589742183685303,,,
2,,1079,,,,0.19937533140182495,,,
2,,1089,,,,0.2578091621398926,,,
2,,1099,,,,0.2837933301925659,,,
2,,1103,,,,,0.9314721822738647,0.8721484541893005,0.2623637020587921
,9.912321891107009e-05,1104,,,,,,,
3,,1109,,,,0.1583184003829956,,,
3,,1119,,,,0.15392161905765533,,,
3,,1129,,,,0.20313450694084167,,,
3,,1139,,,,0.22715745866298676,,,
3,,1149,,,,0.15206238627433777,,,
3,,1159,,,,0.21758601069450378,,,
3,,1169,,,,0.24448952078819275,,,
3,,1179,,,,0.26799476146698,,,
3,,1189,,,,0.16564065217971802,,,
3,,1199,,,,0.1896427571773529,,,
3,,1209,,,,0.24712654948234558,,,
3,,1219,,,,0.1873914748430252,,,
3,,1229,,,,0.26098501682281494,,,
3,,1239,,,,0.1860877126455307,,,
3,,1249,,,,0.20371058583259583,,,
3,,1259,,,,0.16980953514575958,,,
3,,1269,,,,0.1823553442955017,,,
3,,1279,,,,0.2590963840484619,,,
3,,1289,,,,0.23487502336502075,,,
3,,1299,,,,0.19367340207099915,,,
3,,1309,,,,0.20131616294384003,,,
3,,1319,,,,0.23367926478385925,,,
3,,1329,,,,0.18513193726539612,,,
3,,1339,,,,0.1487894356250763,,,
3,,1349,,,,0.2467227578163147,,,
3,,1359,,,,0.23698723316192627,,,
