epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.7265625,0.6589869260787964,,
0,99,,,0.8203125,0.7741845846176147,,
0,149,,,0.8359375,0.4956003725528717,,
0,199,,,0.8671875,0.3299846947193146,,
0,249,,,0.890625,0.39233914017677307,,
0,299,,,0.9453125,0.23819969594478607,,
0,349,,,0.9453125,0.16889357566833496,,
0,399,,,0.9453125,0.21236655116081238,,
0,421,,,,,0.9451666474342346,0.18890832364559174
1,449,,,0.9765625,0.10511712729930878,,
1,499,,,0.9453125,0.17005932331085205,,
1,549,,,0.9921875,0.11197609454393387,,
1,599,,,0.953125,0.13337281346321106,,
1,649,,,0.9765625,0.10593648254871368,,
1,699,,,0.96875,0.10777933895587921,,
1,749,,,0.96875,0.12597186863422394,,
1,799,,,0.953125,0.24589942395687103,,
1,843,,,,,0.9566666483879089,0.13916458189487457
2,849,,,0.953125,0.18420816957950592,,
2,899,,,0.9375,0.20665226876735687,,
2,949,,,0.9296875,0.2516495883464813,,
2,999,,,0.953125,0.14744168519973755,,
2,1049,,,0.9453125,0.17658233642578125,,
2,1099,,,0.9375,0.27046817541122437,,
2,1149,,,0.9609375,0.22554543614387512,,
2,1199,,,0.9375,0.16428586840629578,,
2,1249,,,0.9609375,0.13486096262931824,,
2,1265,,,,,0.9670000076293945,0.11362630873918533
3,1299,,,0.9765625,0.1365359127521515,,
3,1349,,,0.96875,0.11578434705734253,,
3,1399,,,0.9609375,0.17671391367912292,,
3,1449,,,0.984375,0.088503897190094,,
3,1499,,,0.984375,0.0881563127040863,,
3,1549,,,0.9609375,0.11663612723350525,,
3,1599,,,0.9453125,0.16224165260791779,,
3,1649,,,0.953125,0.19280797243118286,,
3,1687,,,,,0.9706666469573975,0.10691425949335098
4,1699,,,0.953125,0.11041687428951263,,
4,1749,,,0.984375,0.06271788477897644,,
4,1799,,,0.96875,0.1034829244017601,,
4,1849,,,0.953125,0.18208841979503632,,
4,1899,,,0.9609375,0.13095396757125854,,
4,1949,,,0.96875,0.1743413209915161,,
4,1999,,,0.96875,0.10341477394104004,,
4,2049,,,0.984375,0.04207785055041313,,
4,2099,,,0.9765625,0.12576578557491302,,
4,2109,,,,,0.9731666445732117,0.09486392140388489
5,2149,,,0.9921875,0.06369668245315552,,
5,2199,,,0.9609375,0.1642088145017624,,
5,2249,,,0.984375,0.04356542229652405,,
5,2299,,,0.9453125,0.1600697636604309,,
5,2349,,,0.9765625,0.11270584911108017,,
5,2399,,,0.9609375,0.14738944172859192,,
5,2449,,,0.9453125,0.155950129032135,,
5,2499,,,0.9765625,0.09968174248933792,,
5,2531,,,,,0.9748333096504211,0.09260091930627823
6,2549,,,0.953125,0.13472887873649597,,
6,2599,,,0.96875,0.1055390015244484,,
6,2649,,,0.9375,0.11277100443840027,,
6,2699,,,0.984375,0.06356090307235718,,
6,2749,,,0.953125,0.16797015070915222,,
6,2799,,,0.9765625,0.06589467078447342,,
6,2849,,,0.9453125,0.21440383791923523,,
6,2899,,,0.9921875,0.046679992228746414,,
6,2949,,,0.9453125,0.1401999145746231,,
6,2953,,,,,0.9763333201408386,0.08028563112020493
7,2999,,,0.984375,0.04604218155145645,,
7,3049,,,1.0,0.02677854895591736,,
7,3099,,,0.9765625,0.09255960583686829,,
7,3149,,,0.984375,0.08924634754657745,,
7,3199,,,0.9765625,0.07725761830806732,,
7,3249,,,0.953125,0.13045334815979004,,
7,3299,,,1.0,0.029741322621703148,,
7,3349,,,0.9921875,0.05305669456720352,,
7,3375,,,,,0.9771666526794434,0.0883658230304718
8,3399,,,0.96875,0.17790955305099487,,
8,3449,,,0.96875,0.08345840126276016,,
8,3499,,,0.96875,0.09555033594369888,,
8,3549,,,0.96875,0.12908482551574707,,
8,3599,,,0.9765625,0.10005000233650208,,
8,3649,,,0.96875,0.09102965146303177,,
8,3699,,,0.96875,0.1182144358754158,,
8,3749,,,0.984375,0.05285019427537918,,
8,3797,,,,,0.9751666784286499,0.08742611855268478
9,3799,,,0.984375,0.10523403435945511,,
9,3849,,,0.953125,0.11168783903121948,,
9,3899,,,0.9765625,0.07535932958126068,,
9,3949,,,0.96875,0.050832606852054596,,
9,3999,,,1.0,0.019546058028936386,,
9,4049,,,0.9375,0.20948880910873413,,
9,4099,,,0.984375,0.0585029199719429,,
9,4149,,,0.9765625,0.05256577208638191,,
9,4199,,,0.9609375,0.11969587206840515,,
9,4219,,,,,0.9778333306312561,0.08268796652555466
10,4249,,,1.0,0.0172758586704731,,
10,4299,,,1.0,0.02922828309237957,,
10,4349,,,1.0,0.028734225779771805,,
10,4399,,,0.9765625,0.09499150514602661,,
10,4449,,,1.0,0.01112506166100502,,
10,4499,,,0.984375,0.06806638836860657,,
10,4549,,,1.0,0.02354308031499386,,
10,4599,,,0.9765625,0.14141908288002014,,
