epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.21875,2.0448451042175293,,
0,99,,,0.34375,2.0298542976379395,,
0,149,,,0.15625,1.8297935724258423,,
0,199,,,0.25,1.9824726581573486,,
0,249,,,0.4375,1.5465569496154785,,
0,299,,,0.4375,1.7208397388458252,,
0,349,,,0.1875,1.6542186737060547,,
0,399,,,0.53125,1.5426058769226074,,
0,449,,,0.375,1.5886554718017578,,
0,499,,,0.40625,1.664759635925293,,
0,549,,,0.59375,1.391758918762207,,
0,599,,,0.25,1.7288143634796143,,
0,649,,,0.46875,1.4317423105239868,,
0,699,,,0.46875,1.410929560661316,,
0,749,,,0.375,1.5263150930404663,,
0,799,,,0.46875,1.3969343900680542,,
0,849,,,0.65625,1.2455940246582031,,
0,899,,,0.40625,1.7128788232803345,,
0,949,,,0.40625,1.3607966899871826,,
0,999,,,0.5,1.586584448814392,,
0,1049,,,0.5,1.4308639764785767,,
0,1099,,,0.46875,1.347184419631958,,
0,1149,,,0.5625,1.3084665536880493,,
0,1199,,,0.5625,1.337951421737671,,
0,1249,,,0.625,1.2610199451446533,,
0,1299,,,0.5,1.6270015239715576,,
0,1349,,,0.4375,1.2562100887298584,,
0,1399,,,0.5625,1.3581655025482178,,
0,1406,,,,,0.4765999913215637,1.4539518356323242
1,1449,,,0.5,1.182276964187622,,
1,1499,,,0.46875,1.458154559135437,,
1,1549,,,0.5,1.3096975088119507,,
1,1599,,,0.4375,1.8047406673431396,,
1,1649,,,0.5625,1.1960148811340332,,
1,1699,,,0.5625,1.4230307340621948,,
1,1749,,,0.5,1.463634967803955,,
1,1799,,,0.625,1.0571320056915283,,
1,1849,,,0.4375,1.4094432592391968,,
1,1899,,,0.5,1.0848820209503174,,
1,1949,,,0.59375,1.1140766143798828,,
1,1999,,,0.5,1.1569316387176514,,
1,2049,,,0.53125,1.3170980215072632,,
1,2099,,,0.625,1.058355450630188,,
1,2149,,,0.40625,1.531097173690796,,
1,2199,,,0.5,1.4782226085662842,,
1,2249,,,0.5,1.3144774436950684,,
1,2299,,,0.53125,1.1934704780578613,,
1,2349,,,0.625,1.010569453239441,,
1,2399,,,0.53125,1.212702989578247,,
1,2449,,,0.5625,1.454355001449585,,
1,2499,,,0.625,1.1159908771514893,,
1,2549,,,0.625,1.0414143800735474,,
1,2599,,,0.5,1.5164895057678223,,
1,2649,,,0.40625,1.5602912902832031,,
1,2699,,,0.5625,1.0249691009521484,,
1,2749,,,0.625,1.012364149093628,,
1,2799,,,0.65625,1.0519500970840454,,
1,2813,,,,,0.5562000274658203,1.1994328498840332
2,2849,,,0.46875,1.0663087368011475,,
2,2899,,,0.5,1.2884796857833862,,
2,2949,,,0.40625,1.528304100036621,,
2,2999,,,0.71875,0.892097532749176,,
2,3049,,,0.71875,0.950177788734436,,
2,3099,,,0.65625,0.8192077279090881,,
2,3149,,,0.625,1.0818243026733398,,
2,3199,,,0.71875,0.9021458625793457,,
2,3249,,,0.53125,1.173431396484375,,
2,3299,,,0.53125,1.3057767152786255,,
2,3349,,,0.4375,1.3742917776107788,,
2,3399,,,0.53125,1.1186567544937134,,
2,3449,,,0.65625,1.0664496421813965,,
2,3499,,,0.6875,1.0835185050964355,,
2,3549,,,0.6875,0.967017650604248,,
2,3599,,,0.6875,0.8721210956573486,,
2,3649,,,0.71875,0.8819639682769775,,
2,3699,,,0.46875,1.1407580375671387,,
2,3749,,,0.59375,1.232543706893921,,
