epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.84375,0.474128782749176,,
0,99,0.84375,0.47008636593818665,,
0,149,0.8125,0.5412435531616211,,
0,199,0.90625,0.4446866810321808,,
0,249,0.90625,0.2944338917732239,,
0,299,0.8125,0.5014247894287109,,
0,349,0.875,0.35557278990745544,,
0,399,0.78125,0.6735230088233948,,
0,449,0.8125,0.5308842062950134,,
0,499,0.8125,0.8030301928520203,,
0,549,0.78125,0.6825462579727173,,
0,599,0.75,0.6912893652915955,,
0,649,0.90625,0.4157832860946655,,
0,699,0.84375,0.4053163230419159,,
0,749,0.90625,0.2450045645236969,,
0,799,0.90625,0.5446710586547852,,
0,849,0.90625,0.24879184365272522,,
0,899,0.84375,0.6493223309516907,,
0,949,0.875,0.43537837266921997,,
0,999,0.875,0.618394672870636,,
0,1049,0.90625,0.33098965883255005,,
0,1099,0.90625,0.35382989048957825,,
0,1149,0.84375,0.4671148955821991,,
0,1199,0.9375,0.39945676922798157,,
0,1249,0.8125,0.8548640012741089,,
0,1299,0.90625,0.25805550813674927,,
0,1349,0.84375,0.3600142002105713,,
0,1399,0.8125,0.7230534553527832,,
0,1449,0.84375,0.9101094603538513,,
0,1499,0.9375,0.2253771871328354,,
0,1549,0.96875,0.14771293103694916,,
0,1599,0.78125,0.6056656241416931,,
0,1649,0.90625,0.5091151595115662,,
0,1687,,,0.9423333406448364,0.22783951461315155
1,1699,0.90625,0.25422224402427673,,
1,1749,0.96875,0.14118599891662598,,
1,1799,0.84375,0.30607467889785767,,
1,1849,0.96875,0.13893434405326843,,
1,1899,0.9375,0.30316194891929626,,
1,1949,0.90625,0.34099307656288147,,
1,1999,0.78125,0.3653593063354492,,
1,2049,0.875,0.6255471110343933,,
1,2099,0.96875,0.08781030774116516,,
1,2149,0.875,0.3353811204433441,,
1,2199,0.8125,0.4792235493659973,,
1,2249,0.90625,0.45957255363464355,,
1,2299,0.96875,0.2199888378381729,,
1,2349,0.875,0.34283021092414856,,
1,2399,0.96875,0.1345379650592804,,
1,2449,0.90625,0.3598767817020416,,
1,2499,0.875,0.3806333541870117,,
1,2549,0.90625,0.2653062641620636,,
1,2599,1.0,0.05694003030657768,,
1,2649,0.875,0.5576063394546509,,
1,2699,0.78125,0.8643230199813843,,
1,2749,0.96875,0.17604605853557587,,
1,2799,0.90625,0.3633262515068054,,
1,2849,0.90625,0.18042421340942383,,
1,2899,1.0,0.023487407714128494,,
1,2949,0.9375,0.35973045229911804,,
1,2999,0.84375,0.4136924147605896,,
1,3049,0.9375,0.26447683572769165,,
1,3099,0.9375,0.4734646677970886,,
1,3149,1.0,0.08169214427471161,,
1,3199,0.8125,0.6974802613258362,,
1,3249,0.84375,0.31617942452430725,,
1,3299,0.90625,0.1919860988855362,,
1,3349,0.875,0.28208616375923157,,
1,3375,,,0.9421666860580444,0.23147282004356384
2,3399,1.0,0.022430798038840294,,
2,3449,0.96875,0.07690376043319702,,
2,3499,0.96875,0.07778112590312958,,
2,3549,0.90625,0.3094586133956909,,
2,3599,0.90625,0.23347274959087372,,
2,3649,0.90625,0.12777328491210938,,
2,3699,0.9375,0.45446234941482544,,
2,3749,0.9375,0.2562328279018402,,
2,3799,0.8125,0.695226788520813,,
2,3849,0.96875,0.1554030179977417,,
2,3899,0.84375,0.5374955534934998,,
2,3949,0.9375,0.2840067446231842,,
2,3999,0.90625,0.43910470604896545,,
2,4049,1.0,0.036217473447322845,,
2,4099,0.875,0.4253791570663452,,
2,4149,0.90625,0.8092138171195984,,
2,4199,0.84375,0.6313481330871582,,
2,4249,0.9375,0.1158791184425354,,
2,4299,0.96875,0.1382412314414978,,
2,4349,0.90625,0.4827623665332794,,
2,4399,0.90625,0.2062731832265854,,
2,4449,0.90625,0.16156905889511108,,
2,4499,0.9375,0.26112818717956543,,
2,4549,0.90625,0.25984635949134827,,
2,4599,0.84375,0.34347450733184814,,
2,4649,0.90625,0.19975954294204712,,
2,4699,0.875,0.2538444697856903,,
2,4749,0.90625,0.35694000124931335,,
2,4799,0.90625,0.20308274030685425,,
2,4849,0.96875,0.11161857098340988,,
2,4899,0.90625,0.3090916872024536,,
2,4949,0.96875,0.07532297074794769,,
2,4999,0.9375,0.11666643619537354,,
